Postal Code,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables
80906,230.352,3,0.2,20.1558,2014,12,26,1,0,0,0,0,1,0,0,1,0,0
80906,218.352,3,0.2,-24.5646,2014,12,26,1,0,0,0,0,1,0,0,0,1,0
7109,77.6,4,0.0,38.024,2016,10,28,0,0,0,1,0,1,0,0,0,1,0
60623,219.075,3,0.5,-131.445,2017,11,19,0,0,0,1,1,0,0,0,0,0,1
10024,26.8,2,0.0,12.864,2015,5,4,0,0,1,0,0,1,0,0,0,1,0
80004,15.136,4,0.2,3.5948,2016,9,12,0,0,1,0,0,1,0,0,0,1,0
80004,466.768,2,0.2,52.5114,2016,9,12,0,0,1,0,0,1,0,0,1,0,0
80004,15.232,1,0.2,1.7136,2016,9,12,0,0,1,0,0,1,0,0,0,1,0
7601,87.54,3,0.0,37.6422,2014,9,27,0,0,0,1,0,1,0,0,0,1,0
10024,135.882,1,0.1,24.1568,2014,11,4,0,0,0,1,0,0,1,0,1,0,0
37130,15.992,1,0.2,0.9995,2017,11,3,0,0,1,0,0,1,0,0,0,1,0
19143,786.744,4,0.3,-258.5016,2016,8,30,1,0,0,0,1,0,0,0,1,0,0
94122,698.352,3,0.2,-17.4588,2014,7,12,0,0,0,1,0,1,0,0,0,0,1
10035,388.704,6,0.2,-4.8588,2016,4,8,0,0,0,1,1,0,0,1,0,0,0
10009,488.646,3,0.1,86.8704,2017,9,25,0,0,0,1,1,0,0,0,1,0,0
10009,47.12,8,0.0,20.7328,2017,9,25,0,0,0,1,1,0,0,0,0,1,0
6040,1043.92,4,0.0,271.4192,2016,10,21,0,1,0,0,0,1,0,1,0,0,0
2038,1488.424,7,0.3,-297.6848,2017,8,27,0,0,0,1,0,1,0,0,0,0,1
33024,375.4575,3,0.45,-157.0095,2015,11,27,0,0,0,1,1,0,0,0,0,0,1
19140,2.96,1,0.2,0.777,2015,12,3,0,0,0,1,0,1,0,0,0,1,0
77036,2396.2656,4,0.32,-317.1528,2016,9,8,0,0,1,0,1,0,0,1,0,0,0
94110,1004.024,7,0.2,-112.9527,2017,12,8,0,0,0,1,1,0,0,0,0,0,1
94110,1336.829,13,0.15,31.4548,2017,12,8,0,0,0,1,1,0,0,1,0,0,0
94110,113.568,2,0.2,-18.4548,2017,12,8,0,0,0,1,1,0,0,0,1,0,0
98105,307.136,4,0.2,26.8744,2017,11,3,0,0,0,1,0,1,0,0,1,0,0
90004,383.8,5,0.2,38.38,2016,4,14,0,0,0,1,1,0,0,0,1,0,0
1841,56.56,4,0.0,14.7056,2017,10,19,0,0,0,1,0,1,0,0,0,1,0
39212,866.4,4,0.0,225.264,2017,8,21,0,0,1,0,1,0,0,0,1,0,0
48187,28.4,2,0.0,11.076,2017,11,23,0,0,1,0,0,1,0,0,0,1,0
10024,207.846,3,0.1,2.3094,2017,1,20,0,0,1,0,0,1,0,0,1,0,0
48227,12.22,1,0.0,3.666,2016,9,5,0,0,1,0,1,0,0,0,0,1,0
48227,242.94,3,0.0,29.1528,2016,9,5,0,0,1,0,1,0,0,0,1,0,0
47201,2.91,1,0.0,1.3677,2017,3,20,0,0,1,0,1,0,0,0,0,1,0
44312,284.364,2,0.4,-75.8304,2017,10,20,0,0,0,1,0,1,0,0,0,0,1
94521,129.568,2,0.2,-24.294,2014,2,12,0,0,0,1,1,0,0,0,1,0,0
62521,747.558,3,0.3,-96.1146,2016,9,26,0,0,0,1,1,0,0,0,1,0,0
85023,23.56,5,0.2,7.068,2016,4,22,0,0,0,1,0,0,1,0,0,1,0
85023,1272.63,6,0.5,-814.4832,2016,4,22,0,0,0,1,0,0,1,0,0,0,1
60068,254.744,7,0.6,-312.0614,2015,1,17,0,0,0,1,0,0,1,0,0,1,0
79109,205.3328,2,0.32,-36.2352,2017,3,31,0,0,0,1,0,1,0,1,0,0,0
94110,222.666,2,0.15,10.4784,2014,11,9,0,0,1,0,1,0,0,1,0,0,0
12180,40.2,3,0.0,19.296,2016,10,27,0,0,0,1,1,0,0,0,0,1,0
90045,514.165,5,0.15,-30.245,2017,6,10,1,0,0,0,0,0,1,1,0,0,0
38109,189.882,3,0.4,-94.941,2016,3,18,0,0,1,0,1,0,0,0,0,0,1
92627,255.76,4,0.0,81.8432,2016,7,25,0,0,0,1,1,0,0,0,0,1,0
92627,241.568,2,0.2,18.1176,2016,7,25,0,0,0,1,1,0,0,0,1,0,0
92627,69.3,9,0.0,22.869,2016,7,25,0,0,0,1,1,0,0,0,0,1,0
80134,801.568,2,0.2,50.098,2016,5,30,0,0,0,1,0,1,0,0,1,0,0
64118,126.3,3,0.0,40.416,2017,11,26,1,0,0,0,1,0,0,0,0,1,0
48234,210.98,2,0.0,21.098,2017,1,23,1,0,0,0,0,1,0,0,0,0,1
33801,683.952,3,0.2,42.747,2017,10,21,0,0,0,1,0,0,1,0,1,0,0
33801,45.696,3,0.2,5.1408,2017,10,21,0,0,0,1,0,0,1,0,0,1,0
90036,190.72,1,0.2,11.92,2015,11,7,0,0,1,0,0,1,0,0,1,0,0
90032,47.94,3,0.0,2.397,2017,9,7,0,0,0,1,1,0,0,0,0,1,0
42420,283.92,4,0.0,70.98,2015,12,7,0,0,0,1,1,0,0,0,1,0,0
76106,66.112,4,0.6,-84.2928,2014,5,11,0,0,0,1,1,0,0,0,0,1,0
94110,1121.568,2,0.2,0.0,2016,4,15,0,0,1,0,1,0,0,0,1,0,0
32216,34.504,1,0.2,6.0382,2017,9,11,1,0,0,0,1,0,0,0,0,1,0
90045,1335.68,4,0.2,-217.048,2016,6,10,0,0,0,1,1,0,0,0,0,0,1
94110,42.6,3,0.0,16.614,2017,11,20,0,0,1,0,1,0,0,0,0,1,0
33614,13.128,3,0.2,3.7743,2014,9,14,0,0,1,0,1,0,0,0,0,1,0
98105,451.152,3,0.2,0.0,2017,10,1,0,0,0,1,0,1,0,0,1,0,0
60610,8.792,1,0.6,-5.7148,2017,7,20,0,0,0,1,1,0,0,0,0,1,0
40475,70.98,1,0.0,4.9686,2015,7,3,0,0,0,1,1,0,0,0,1,0,0
92024,327.76,8,0.0,91.7728,2014,8,8,0,0,0,1,1,0,0,0,0,1,0
33614,45.696,3,0.2,5.1408,2014,3,15,0,0,0,1,1,0,0,0,0,1,0
10011,40.48,2,0.0,15.7872,2017,8,18,0,0,1,0,0,1,0,0,0,1,0
10011,9.94,2,0.0,3.0814,2017,8,18,0,0,1,0,0,1,0,0,0,1,0
10011,88.02,3,0.0,27.2862,2017,8,18,0,0,1,0,0,1,0,0,0,1,0
48126,301.96,2,0.0,87.5684,2015,11,29,0,0,0,1,0,1,0,0,1,0,0
10009,35.56,7,0.0,12.0904,2017,9,15,0,0,0,1,0,0,1,0,0,1,0
31088,392.94,3,0.0,43.2234,2015,10,4,0,0,1,0,0,1,0,0,1,0,0
94591,1049.2,5,0.0,272.792,2016,5,20,0,0,0,1,0,0,1,0,0,1,0
55407,18.84,3,0.0,6.0288,2016,12,18,0,0,0,1,0,1,0,0,0,1,0
98661,14.8,4,0.0,6.068,2016,12,11,0,0,1,0,0,1,0,0,0,1,0
60505,701.372,2,0.3,-50.098,2016,9,19,0,1,0,0,0,0,1,0,1,0,0
76017,918.785,5,0.3,-118.1295,2015,8,24,0,0,0,1,1,0,0,0,0,0,1
44105,30.36,5,0.2,8.7285,2014,12,24,1,0,0,0,1,0,0,0,0,1,0
60653,23.976,3,0.6,-14.3856,2017,6,9,0,0,0,1,0,0,1,0,0,1,0
60653,108.925,1,0.5,-71.8905,2017,6,9,0,0,0,1,0,0,1,0,0,0,1
75701,82.524,3,0.6,-41.262,2017,3,18,0,0,0,1,1,0,0,0,0,1,0
10035,191.984,2,0.2,4.7996,2017,12,25,0,0,0,1,1,0,0,1,0,0,0
22980,104.01,1,0.0,14.5614,2014,6,21,0,0,1,0,1,0,0,0,0,1,0
44105,15.072,3,0.2,4.1448,2017,9,2,0,0,0,1,0,1,0,0,0,1,0
98103,209.88,3,0.0,35.6796,2016,11,4,0,0,1,0,0,1,0,0,0,1,0
90805,369.912,3,0.2,-13.8717,2015,4,9,0,0,0,1,1,0,0,0,0,0,1
10035,883.92,5,0.2,-110.49,2014,12,2,1,0,0,0,1,0,0,1,0,0,0
19901,9.94,2,0.0,3.0814,2014,1,11,1,0,0,0,1,0,0,0,0,1,0
43055,103.056,3,0.2,24.4758,2017,9,24,0,0,0,1,1,0,0,0,0,1,0
84057,73.32,6,0.0,21.996,2014,6,2,0,0,0,1,0,0,1,0,0,1,0
48205,1652.94,3,0.0,231.4116,2016,12,15,0,0,0,1,0,1,0,0,0,0,1
19140,129.92,5,0.2,21.112,2014,10,7,0,0,0,1,0,0,1,0,0,1,0
11572,400.032,2,0.4,-153.3456,2016,12,3,1,0,0,0,1,0,0,0,0,0,1
11572,542.646,3,0.1,102.4998,2016,12,3,1,0,0,0,1,0,0,0,1,0,0
98115,84.98,1,0.0,18.6956,2017,1,21,0,0,0,1,0,0,1,1,0,0,0
92105,567.12,10,0.2,-28.356,2014,5,27,0,1,0,0,0,1,0,0,0,0,1
48183,157.74,11,0.0,56.7864,2017,10,2,0,0,0,1,1,0,0,0,0,1,0
90036,79.92,4,0.0,28.7712,2015,12,7,0,0,0,1,1,0,0,0,0,1,0
32216,383.438,4,0.45,-167.3184,2016,9,18,0,0,0,1,0,1,0,0,0,0,1
33710,310.88,2,0.2,23.316,2014,5,14,0,0,0,1,0,1,0,0,0,1,0
22204,641.96,2,0.0,179.7488,2016,5,19,0,0,0,1,1,0,0,0,1,0,0
50315,34.58,7,0.0,14.5236,2017,1,30,0,0,0,1,0,1,0,0,0,1,0
94110,544.008,3,0.2,40.8006,2015,8,21,1,0,0,0,0,0,1,0,1,0,0
43229,35.49,1,0.5,-15.6156,2015,10,3,0,0,1,0,1,0,0,1,0,0,0
93534,348.928,2,0.2,34.8928,2015,12,12,0,0,0,1,1,0,0,0,1,0,0
23223,332.94,3,0.0,79.9056,2015,6,26,0,0,0,1,1,0,0,0,1,0,0
92530,283.92,5,0.2,17.745,2015,11,27,0,0,0,1,1,0,0,0,1,0,0
92105,22.23,1,0.0,7.3359,2017,2,20,1,0,0,0,0,1,0,0,0,1,0
94122,18.28,2,0.0,6.2152,2017,4,22,1,0,0,0,1,0,0,0,0,1,0
68104,28.4,2,0.0,11.076,2015,2,3,1,0,0,0,1,0,0,0,0,1,0
98026,1298.55,5,0.0,311.652,2014,10,13,1,0,0,0,1,0,0,0,0,0,1
92704,18.28,2,0.0,6.2152,2017,5,14,0,1,0,0,1,0,0,0,0,1,0
19140,1228.465,5,0.3,0.0,2014,6,28,0,0,0,1,1,0,0,0,1,0,0
41042,301.96,2,0.0,90.588,2017,6,16,0,0,1,0,1,0,0,0,1,0,0
10035,186.048,4,0.2,9.3024,2015,11,20,0,0,0,1,0,1,0,1,0,0,0
40214,287.94,3,0.0,77.7438,2015,10,13,0,0,0,1,1,0,0,0,1,0,0
44052,48.896,4,0.2,8.5568,2017,1,1,0,0,0,1,1,0,0,0,0,1,0
10035,44.46,2,0.0,14.6718,2016,2,19,0,0,0,1,1,0,0,0,0,1,0
22153,51.94,1,0.0,21.2954,2014,1,10,0,0,0,1,0,1,0,0,0,1,0
3301,322.59,3,0.0,64.518,2016,1,17,0,0,0,1,0,0,1,0,0,1,0
10024,1242.9,5,0.1,262.39,2017,11,30,0,0,1,0,0,0,1,0,1,0,0
48227,31.4,5,0.0,10.048,2016,10,22,1,0,0,0,0,0,1,0,0,1,0
14609,17.46,2,0.0,5.9364,2014,4,29,0,0,0,1,1,0,0,0,0,1,0
10009,323.136,4,0.2,12.1176,2017,12,30,0,0,0,1,1,0,0,1,0,0,0
6360,22.2,6,0.0,9.102,2015,5,31,0,0,0,1,0,0,1,0,0,1,0
53209,46.94,1,0.0,19.2454,2017,11,27,1,0,0,0,0,1,0,0,0,1,0
78207,99.918,2,0.3,-18.5562,2014,6,15,0,0,0,1,0,1,0,0,0,0,1
78207,797.944,4,0.3,-56.996,2014,6,15,0,0,0,1,0,1,0,0,1,0,0
90503,1114.272,4,0.2,41.7852,2016,12,13,0,0,0,1,0,1,0,0,0,0,1
85204,393.165,3,0.5,-204.4458,2015,7,26,1,0,0,0,1,0,0,0,0,0,1
19120,516.488,7,0.2,-12.9122,2017,11,28,0,0,0,1,0,0,1,0,0,1,0
19120,1007.232,6,0.2,75.5424,2017,11,28,0,0,0,1,0,0,1,0,0,1,0
19120,2065.32,12,0.4,-619.596,2017,11,28,0,0,0,1,0,0,1,0,0,0,1
19143,25.472,4,0.2,7.6416,2017,4,3,0,0,0,1,1,0,0,0,0,1,0
78664,78.8528,2,0.32,-11.596,2017,12,28,0,0,0,1,1,0,0,1,0,0,0
92054,204.6,2,0.0,53.196,2015,9,22,0,1,0,0,1,0,0,0,0,1,0
94110,321.568,2,0.2,28.1372,2017,11,14,0,0,0,1,0,1,0,0,1,0,0
19134,127.104,6,0.2,28.5984,2014,1,16,0,0,1,0,1,0,0,0,0,1,0
10035,599.292,6,0.1,93.2232,2016,10,3,0,0,0,1,1,0,0,0,1,0,0
80027,603.92,5,0.2,75.49,2014,11,11,0,0,1,0,1,0,0,0,1,0,0
13021,520.05,5,0.0,72.807,2017,5,21,0,0,0,1,0,1,0,0,0,1,0
32216,1166.92,5,0.2,131.2785,2015,3,29,0,0,1,0,0,0,1,0,1,0,0
42420,24.1,5,0.0,9.158,2015,10,28,0,0,0,1,1,0,0,0,0,1,0
42420,33.11,7,0.0,12.9129,2015,10,28,0,0,0,1,1,0,0,0,0,1,0
10024,1090.782,7,0.4,-290.8752,2015,7,31,0,1,0,0,1,0,0,0,0,0,1
92037,151.72,4,0.0,27.3096,2014,11,24,1,0,0,0,1,0,0,0,0,1,0
98502,155.25,3,0.0,46.575,2017,6,17,0,0,1,0,1,0,0,0,0,1,0
98103,1618.37,13,0.0,356.0414,2015,12,21,0,0,1,0,1,0,0,0,0,0,1
10011,13.96,2,0.0,6.7008,2015,7,6,0,0,0,1,0,1,0,0,0,1,0
10011,155.82,3,0.0,63.8862,2015,7,6,0,0,0,1,0,1,0,0,0,1,0
20016,1267.53,3,0.0,316.8825,2015,4,27,0,0,0,1,1,0,0,0,1,0,0
7601,854.94,3,0.0,213.735,2014,7,11,0,0,0,1,0,1,0,0,1,0,0
7601,124.11,9,0.0,52.1262,2014,7,11,0,0,0,1,0,1,0,0,0,1,0
65109,86.62,2,0.0,8.662,2016,4,22,0,0,0,1,0,0,1,0,0,1,0
63376,697.16,4,0.0,146.4036,2016,3,20,0,0,0,1,0,0,1,0,0,0,1
10035,722.352,3,0.2,90.294,2016,9,6,0,0,1,0,1,0,0,1,0,0,0
61107,254.604,14,0.3,-18.186,2017,10,12,0,0,0,1,0,0,1,0,1,0,0
33142,102.36,3,0.2,-3.8385,2016,3,8,0,0,0,1,1,0,0,0,0,1,0
19134,168.464,2,0.2,-29.4812,2015,7,3,1,0,0,0,0,1,0,0,0,1,0
19134,282.888,9,0.2,56.5776,2015,7,3,1,0,0,0,0,1,0,0,0,1,0
10009,108.4,2,0.0,22.764,2015,4,4,0,0,0,1,0,0,1,0,0,1,0
77095,107.772,2,0.3,-29.2524,2015,3,23,0,0,0,1,1,0,0,0,1,0,0
94122,194.848,4,0.2,12.178,2016,10,1,1,0,0,0,1,0,0,0,1,0,0
48227,1106.91,9,0.0,121.7601,2015,11,29,0,0,0,1,0,1,0,0,1,0,0
10701,836.592,8,0.4,-264.9208,2016,3,1,0,0,0,1,1,0,0,0,0,0,1
28110,31.984,2,0.2,1.999,2017,6,4,0,0,0,1,0,1,0,0,0,1,0
90049,447.84,5,0.2,11.196,2014,6,25,1,0,0,0,0,1,0,0,0,0,1
94122,8.73,3,0.0,4.1031,2016,6,14,1,0,0,0,0,0,1,0,0,1,0
77041,2.328,2,0.6,-0.7566,2016,11,19,0,0,0,1,1,0,0,0,0,1,0
92024,119.833,1,0.15,-12.6882,2017,12,18,0,0,1,0,1,0,0,1,0,0,0
72401,38.6,4,0.0,11.58,2014,1,20,0,0,0,1,1,0,0,0,0,1,0
72401,1067.94,3,0.0,224.2674,2014,1,20,0,0,0,1,1,0,0,0,1,0,0
22153,343.92,4,0.0,75.6624,2016,4,12,0,0,0,1,1,0,0,0,0,0,1
90045,204.6,2,0.0,53.196,2014,9,29,0,0,0,1,1,0,0,0,0,1,0
44221,8.352,6,0.2,1.2528,2015,5,8,0,0,0,1,0,1,0,0,0,1,0
22801,455.1,2,0.0,100.122,2014,12,20,1,0,0,0,0,0,1,0,0,0,1
90004,195.184,1,0.2,19.5184,2016,7,2,0,0,1,0,0,1,0,0,1,0,0
10035,109.48,2,0.0,33.9388,2017,12,8,0,0,1,0,1,0,0,0,0,1,0
20852,172.5,2,0.0,51.75,2016,12,1,0,0,0,1,1,0,0,0,1,0,0
90036,892.224,3,0.2,89.2224,2017,2,26,0,0,1,0,0,0,1,0,1,0,0
33065,15.712,4,0.2,2.5532,2015,9,15,0,1,0,0,0,1,0,0,0,1,0
33065,55.968,1,0.2,-2.0988,2015,9,15,0,1,0,0,0,1,0,0,0,1,0
77041,95.984,4,0.3,-4.1136,2016,4,8,0,0,0,1,1,0,0,0,1,0,0
80219,544.008,3,0.2,40.8006,2016,7,18,0,0,0,1,0,1,0,0,1,0,0
80219,854.352,3,0.2,10.6794,2016,7,18,0,0,0,1,0,1,0,0,1,0,0
10009,579.136,4,0.2,21.7176,2016,7,14,0,0,1,0,0,1,0,1,0,0,0
19134,141.372,2,0.3,-48.4704,2017,9,9,0,0,0,1,0,1,0,0,1,0,0
19134,17.024,2,0.2,1.7024,2017,9,9,0,0,0,1,0,1,0,0,0,1,0
10024,113.79,3,0.0,20.4822,2016,12,4,1,0,0,0,1,0,0,0,0,1,0
90045,8.73,1,0.0,2.9682,2017,11,6,0,0,0,1,1,0,0,0,0,1,0
33437,47.952,3,0.2,13.7862,2016,10,28,0,1,0,0,1,0,0,0,0,1,0
33437,63.968,2,0.2,0.0,2016,10,28,0,1,0,0,1,0,0,0,0,1,0
33437,165.048,3,0.2,41.262,2016,10,28,0,1,0,0,1,0,0,0,0,1,0
98105,12.35,1,0.0,5.434,2014,8,11,0,0,0,1,1,0,0,0,0,1,0
93727,764.688,6,0.2,95.586,2014,12,12,0,0,1,0,1,0,0,0,0,0,1
93727,254.9745,3,0.15,11.9988,2014,12,12,0,0,1,0,1,0,0,1,0,0,0
10009,1141.938,9,0.1,139.5702,2017,12,18,0,0,0,1,1,0,0,0,1,0,0
19013,6.696,1,0.2,0.5022,2017,3,10,0,0,0,1,0,0,1,0,0,1,0
19013,43.872,2,0.2,11.5164,2017,3,10,0,0,0,1,0,0,1,0,0,1,0
46350,41.85,5,0.0,10.881,2016,10,1,1,0,0,0,1,0,0,0,0,1,0
90045,292.272,6,0.2,18.267,2014,12,24,0,0,0,1,0,1,0,0,1,0,0
80027,29.328,3,0.2,3.666,2017,9,23,0,0,0,1,0,1,0,0,0,1,0
76106,388.43,5,0.3,-88.784,2016,5,26,0,1,0,0,1,0,0,0,1,0,0
10009,39.88,2,0.0,11.1664,2016,11,22,0,0,0,1,0,1,0,0,0,1,0
22153,572.76,6,0.0,166.1004,2016,12,23,0,0,1,0,1,0,0,0,0,1,0
22153,286.38,3,0.0,83.0502,2016,12,23,0,0,1,0,1,0,0,0,0,1,0
22204,61.96,2,0.0,4.3372,2015,9,19,0,0,1,0,0,0,1,1,0,0,0
31907,23.99,1,0.0,5.5177,2017,7,3,0,0,0,1,1,0,0,0,0,1,0
91104,161.568,2,0.2,-8.0784,2016,6,20,1,0,0,0,1,0,0,0,1,0,0
43229,155.372,2,0.3,-13.3176,2016,9,24,0,0,0,1,1,0,0,0,1,0,0
90032,183.84,8,0.0,62.5056,2016,12,18,0,0,0,1,0,1,0,0,0,1,0
19120,51.072,6,0.2,5.1072,2015,6,14,0,0,0,1,0,0,1,0,0,1,0
94109,37.05,3,0.0,16.302,2016,5,23,0,0,0,1,1,0,0,0,0,1,0
90008,25.11,3,0.0,6.5286,2017,4,2,0,0,0,1,1,0,0,0,0,1,0
10011,29.78,2,0.0,8.0406,2017,3,31,0,0,1,0,1,0,0,0,0,1,0
60201,258.279,3,0.3,-70.1043,2014,10,3,0,0,1,0,1,0,0,0,1,0,0
94109,300.904,1,0.2,11.2839,2017,5,4,0,0,0,1,0,1,0,0,0,0,1
76106,1.988,1,0.6,-1.4413,2017,4,26,1,0,0,0,1,0,0,0,0,1,0
90049,145.568,2,0.2,0.0,2014,9,26,0,0,1,0,1,0,0,0,1,0,0
85705,899.136,4,0.2,-146.1096,2017,11,10,1,0,0,0,0,1,0,0,1,0,0
90660,145.9,5,0.0,62.737,2017,7,8,1,0,0,0,0,0,1,0,0,1,0
80906,590.058,7,0.7,-786.744,2015,12,24,0,0,0,1,1,0,0,1,0,0,0
84604,912.75,5,0.0,118.6575,2015,9,14,0,0,0,1,1,0,0,0,0,0,1
60505,83.952,3,0.6,-90.2484,2016,9,3,0,0,0,1,0,0,1,0,0,1,0
30080,18.84,3,0.0,7.1592,2016,2,5,0,1,0,0,0,0,1,0,0,1,0
30080,239.98,2,0.0,52.7956,2016,2,5,0,1,0,0,0,0,1,1,0,0,0
60505,652.45,5,0.5,-430.617,2017,10,9,0,0,0,1,0,1,0,0,0,0,1
60505,66.645,3,0.5,-42.6528,2017,10,9,0,0,0,1,0,1,0,0,0,0,1
43229,205.176,2,0.4,-58.1332,2016,4,19,0,0,0,1,0,0,1,0,0,0,1
19143,154.764,3,0.4,-36.1116,2014,4,6,1,0,0,0,0,0,1,0,0,0,1
