Postal Code,Sales,Quantity,Discount,Profit,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables,Order Date,Week,Quarter,Sales_Lag_1,Sales_Lag_2,Sales_Lag_3,Sales_Rolling_Mean_3,Sales_Rolling_Mean_7
19140,82.8,2,0.2,10.35,0,0,1,0,0,1,0,0,0,1,0,2016-09-05,36,3,43.12,238.56,81.424,121.49333333333328,244.45742857142855
43055,93.888,4,0.2,12.9096,0,0,0,1,0,0,1,0,0,1,0,2014-10-22,43,4,82.8,43.12,238.56,73.2693333333333,251.15
98115,457.568,2,0.2,51.4764,0,0,1,0,1,0,0,0,1,0,0,2014-03-01,9,1,93.888,82.8,43.12,211.4186666666666,230.72285714285718
78207,1740.06,9,0.3,-24.858,0,0,0,1,1,0,0,0,1,0,0,2014-09-08,37,3,457.568,93.888,82.8,763.8386666666665,391.06
90004,340.144,7,0.2,21.259,0,0,0,1,1,0,0,0,1,0,0,2014-08-05,32,3,1740.06,457.568,93.888,845.924,428.02000000000004
43055,396.802,7,0.3,-11.3372,0,0,1,0,1,0,0,0,1,0,0,2015-11-21,47,4,340.144,1740.06,457.568,825.6686666666666,450.62600000000003
10035,899.136,4,0.2,112.392,1,0,0,0,0,0,1,1,0,0,0,2015-10-12,42,4,396.802,340.144,1740.06,545.3606666666666,572.914
10035,626.352,3,0.2,46.9764,1,0,0,0,0,0,1,1,0,0,0,2015-10-12,42,4,899.136,396.802,340.144,640.7633333333332,650.5642857142857
80219,218.75,2,0.5,-161.875,1,0,0,0,1,0,0,0,0,0,1,2014-08-03,31,3,626.352,899.136,396.802,581.4126666666666,668.4017142857143
37064,35.168,7,0.2,9.6712,0,0,0,1,0,1,0,0,0,1,0,2017-06-03,22,2,218.75,626.352,899.136,293.42333333333323,608.0588571428572
44256,452.45,5,0.5,-244.323,0,0,0,1,0,1,0,1,0,0,0,2015-01-02,1,1,35.168,218.75,626.352,235.4559999999999,424.1145714285714
43017,72.704,4,0.2,19.0848,1,0,0,0,1,0,0,0,0,1,0,2015-12-24,52,4,452.45,35.168,218.75,186.77399999999992,385.90885714285713
48227,622.45,5,0.0,136.939,0,0,0,1,0,1,0,0,0,0,1,2015-08-09,32,3,72.704,452.45,35.168,382.5346666666666,418.14428571428573
38401,161.568,2,0.2,-28.2744,0,0,0,1,1,0,0,0,1,0,0,2015-02-28,9,1,622.45,72.704,452.45,285.5739999999999,312.7774285714286
38401,389.696,8,0.2,43.8408,0,0,0,1,1,0,0,0,1,0,0,2015-02-28,9,1,161.568,622.45,72.704,391.238,278.9694285714286
33614,233.86,2,0.45,-102.048,0,0,0,1,0,0,1,0,0,0,1,2017-04-07,14,2,389.696,161.568,622.45,261.7079999999999,281.12800000000004
33614,620.6145,3,0.45,-248.2458,0,0,0,1,0,0,1,0,0,0,1,2017-04-07,14,2,233.86,389.696,161.568,414.7234999999999,364.7632142857143
33614,258.072,3,0.2,0.0,0,0,0,1,0,0,1,0,0,1,0,2017-04-07,14,2,620.6145,233.86,389.696,370.8488333333333,336.9949285714286
60610,419.68,5,0.6,-356.728,0,0,1,0,1,0,0,0,0,1,0,2016-06-04,22,2,258.072,620.6145,233.86,432.7888333333333,386.5629285714286
60610,11.688,3,0.6,-4.6752,0,0,1,0,1,0,0,0,0,1,0,2016-06-04,22,2,419.68,258.072,620.6145,229.81333333333328,299.3112142857143
60610,177.225,5,0.5,-120.513,0,0,1,0,1,0,0,0,0,0,1,2016-06-04,22,2,11.688,419.68,258.072,202.86433333333324,301.5479285714286
60610,4.044,3,0.6,-2.8308,0,0,1,0,1,0,0,0,0,1,0,2016-06-04,22,2,177.225,11.688,419.68,64.31899999999992,246.45478571428572
94109,321.568,2,0.2,28.1372,0,0,1,0,1,0,0,0,1,0,0,2016-12-10,49,4,4.044,177.225,11.688,167.61233333333325,258.98449999999997
60623,12.132,9,0.6,-8.4924,0,0,0,1,0,1,0,0,0,1,0,2015-11-28,48,4,321.568,4.044,177.225,112.58133333333325,172.05842857142855
94109,5.28,3,0.0,2.3232,1,0,0,0,1,0,0,0,0,1,0,2015-07-30,31,3,12.132,321.568,4.044,112.99333333333324,135.94528571428572
90004,1038.84,5,0.2,51.942,0,0,0,1,1,0,0,0,0,0,1,2015-11-02,45,4,5.28,12.132,321.568,352.0839999999999,224.39671428571427
43229,86.97,3,0.5,-48.7032,0,0,1,0,0,0,1,1,0,0,0,2016-11-20,46,4,1038.84,5.28,12.132,377.0299999999999,235.1512857142857
80906,300.416,8,0.2,78.8592,1,0,0,0,0,1,0,0,0,1,0,2014-12-26,52,4,86.97,1038.84,5.28,475.40866666666653,252.74999999999997
80906,230.352,3,0.2,20.1558,1,0,0,0,0,1,0,0,1,0,0,2014-12-26,52,4,300.416,86.97,1038.84,205.91266666666658,285.07971428571426
80906,218.352,3,0.2,-24.5646,1,0,0,0,0,1,0,0,0,1,0,2014-12-26,52,4,230.352,300.416,86.97,249.70666666666656,270.3345714285714
7109,77.6,4,0.0,38.024,0,0,0,1,0,1,0,0,0,1,0,2016-10-28,43,4,218.352,230.352,300.416,175.43466666666657,279.6871428571429
60623,219.075,3,0.5,-131.445,0,0,0,1,1,0,0,0,0,0,1,2017-11-19,46,4,77.6,218.352,230.352,171.67566666666661,310.2292857142857
10024,26.8,2,0.0,12.864,0,0,1,0,0,1,0,0,0,1,0,2015-05-04,19,2,219.075,77.6,218.352,107.82499999999992,165.65214285714288
80004,15.136,4,0.2,3.5948,0,0,1,0,0,1,0,0,0,1,0,2016-09-12,37,3,26.8,219.075,77.6,87.00366666666658,155.39014285714285
80004,466.768,2,0.2,52.5114,0,0,1,0,0,1,0,0,1,0,0,2016-09-12,37,3,15.136,26.8,219.075,169.5679999999999,179.1547142857143
80004,15.232,1,0.2,1.7136,0,0,1,0,0,1,0,0,0,1,0,2016-09-12,37,3,466.768,15.136,26.8,165.7119999999999,148.4232857142857
7601,87.54,3,0.0,37.6422,0,0,0,1,0,1,0,0,0,1,0,2014-09-27,39,3,15.232,466.768,15.136,189.84666666666658,129.73585714285713
10024,135.882,1,0.1,24.1568,0,0,0,1,0,0,1,0,1,0,0,2014-11-04,45,4,87.54,15.232,466.768,79.55133333333326,138.06185714285715
37130,15.992,1,0.2,0.9995,0,0,1,0,0,1,0,0,0,1,0,2017-11-03,44,4,135.882,87.54,15.232,79.80466666666659,109.04999999999998
19143,786.744,4,0.3,-258.5016,1,0,0,0,1,0,0,0,1,0,0,2016-08-30,35,3,15.992,135.882,87.54,312.8726666666666,217.61342857142856
94122,698.352,3,0.2,-17.4588,0,0,0,1,0,1,0,0,0,0,1,2014-07-12,28,3,786.744,15.992,135.882,500.3626666666666,315.21571428571434
10035,388.704,6,0.2,-4.8588,0,0,0,1,1,0,0,1,0,0,0,2016-04-08,14,2,698.352,786.744,15.992,624.5999999999999,304.0637142857143
10009,488.646,3,0.1,86.8704,0,0,0,1,1,0,0,0,1,0,0,2017-09-25,39,3,388.704,698.352,786.744,525.2339999999999,371.69428571428574
10009,47.12,8,0.0,20.7328,0,0,0,1,1,0,0,0,0,1,0,2017-09-25,39,3,488.646,388.704,698.352,308.1566666666666,365.92
6040,1043.92,4,0.0,271.4192,0,1,0,0,0,1,0,1,0,0,0,2016-10-21,42,4,47.12,488.646,388.704,526.562,495.6397142857143
2038,1488.424,7,0.3,-297.6848,0,0,0,1,0,1,0,0,0,0,1,2017-08-27,34,3,1043.92,47.12,488.646,859.8213333333333,705.9871428571429
33024,375.4575,3,0.45,-157.0095,0,0,0,1,1,0,0,0,0,0,1,2015-11-27,48,4,1488.424,1043.92,47.12,969.2671666666666,647.2319285714285
19140,2.96,1,0.2,0.777,0,0,0,1,0,1,0,0,0,1,0,2015-12-03,49,4,375.4575,1488.424,1043.92,622.2805,547.8902142857144
77036,2396.2656,4,0.32,-317.1528,0,0,1,0,1,0,0,1,0,0,0,2016-09-08,36,3,2.96,375.4575,1488.424,924.8943666666668,834.6847285714286
94110,1004.024,7,0.2,-112.9527,0,0,0,1,1,0,0,0,0,0,1,2017-12-08,49,4,2396.2656,2.96,375.4575,1134.4165333333333,908.3101571428572
94110,1336.829,13,0.15,31.4548,0,0,0,1,1,0,0,1,0,0,0,2017-12-08,49,4,1004.024,2396.2656,2.96,1579.0395333333333,1092.5543
94110,113.568,2,0.2,-18.4548,0,0,0,1,1,0,0,0,1,0,0,2017-12-08,49,4,1336.829,1004.024,2396.2656,818.1403333333333,959.6468714285714
98105,307.136,4,0.2,26.8744,0,0,0,1,0,1,0,0,1,0,0,2017-11-03,44,4,113.568,1336.829,1004.024,585.8443333333332,790.891442857143
90004,383.8,5,0.2,38.38,0,0,0,1,1,0,0,0,1,0,0,2016-04-14,15,2,307.136,113.568,1336.829,268.16799999999984,792.0832285714287
1841,56.56,4,0.0,14.7056,0,0,0,1,0,1,0,0,0,1,0,2017-10-19,42,4,383.8,307.136,113.568,249.16533333333322,799.7403714285714
39212,866.4,4,0.0,225.264,0,0,1,0,1,0,0,0,1,0,0,2017-08-21,34,3,56.56,383.8,307.136,435.58666666666653,581.1881428571429
48187,28.4,2,0.0,11.076,0,0,1,0,0,1,0,0,0,1,0,2017-11-23,47,4,866.4,56.56,383.8,317.11999999999983,441.81328571428577
10024,207.846,3,0.1,2.3094,0,0,1,0,0,1,0,0,1,0,0,2017-01-20,3,1,28.4,866.4,56.56,367.5486666666665,280.53000000000003
48227,12.22,1,0.0,3.666,0,0,1,0,1,0,0,0,0,1,0,2016-09-05,36,3,207.846,28.4,866.4,82.82199999999985,266.0517142857143
48227,242.94,3,0.0,29.1528,0,0,1,0,1,0,0,0,1,0,0,2016-09-05,36,3,12.22,207.846,28.4,154.33533333333318,256.8808571428571
47201,2.91,1,0.0,1.3677,0,0,1,0,1,0,0,0,0,1,0,2017-03-20,12,1,242.94,12.22,207.846,86.02333333333318,202.46800000000002
44312,284.364,2,0.4,-75.8304,0,0,0,1,0,1,0,0,0,0,1,2017-10-20,42,4,2.91,242.94,12.22,176.73799999999983,235.01142857142855
94521,129.568,2,0.2,-24.294,0,0,0,1,1,0,0,0,1,0,0,2014-02-12,7,1,284.364,2.91,242.94,138.94733333333318,129.7497142857143
62521,747.558,3,0.3,-96.1146,0,0,0,1,1,0,0,0,1,0,0,2016-09-26,39,3,129.568,284.364,2.91,387.1633333333332,232.4865714285714
85023,23.56,5,0.2,7.068,0,0,0,1,0,0,1,0,0,1,0,2016-04-22,16,2,747.558,129.568,284.364,300.22866666666647,206.16000000000003
85023,1272.63,6,0.5,-814.4832,0,0,0,1,0,0,1,0,0,0,1,2016-04-22,16,2,23.56,747.558,129.568,681.2493333333332,386.21857142857147
60068,254.744,7,0.6,-312.0614,0,0,0,1,0,0,1,0,0,1,0,2015-01-17,3,1,1272.63,23.56,747.558,516.9779999999998,387.90485714285717
79109,205.3328,2,0.32,-36.2352,0,0,0,1,0,1,0,1,0,0,0,2017-03-31,13,1,254.744,1272.63,23.56,577.5689333333332,416.8224
94110,222.666,2,0.15,10.4784,0,0,1,0,1,0,0,1,0,0,0,2014-11-09,45,4,205.3328,254.744,1272.63,227.58093333333318,408.00840000000005
12180,40.2,3,0.0,19.296,0,0,0,1,1,0,0,0,0,1,0,2016-10-27,43,4,222.666,205.3328,254.744,156.0662666666665,395.24154285714286
90045,514.165,5,0.15,-30.245,1,0,0,0,0,0,1,1,0,0,0,2017-06-10,23,2,40.2,222.666,205.3328,259.01033333333316,361.89968571428574
38109,189.882,3,0.4,-94.941,0,0,1,0,1,0,0,0,0,0,1,2016-03-18,11,1,514.165,40.2,222.666,248.0823333333332,385.6599714285714
92627,255.76,4,0.0,81.8432,0,0,0,1,1,0,0,0,0,1,0,2016-07-25,30,3,189.882,514.165,40.2,319.9356666666665,240.39282857142857
92627,241.568,2,0.2,18.1176,0,0,0,1,1,0,0,0,1,0,0,2016-07-25,30,3,255.76,189.882,514.165,229.06999999999985,238.51054285714287
92627,69.3,9,0.0,22.869,0,0,0,1,1,0,0,0,0,1,0,2016-07-25,30,3,241.568,255.76,189.882,188.87599999999986,219.0772857142857
80134,801.568,2,0.2,50.098,0,0,0,1,0,1,0,0,1,0,0,2016-05-30,22,2,69.3,241.568,255.76,370.8119999999999,301.77757142857143
64118,126.3,3,0.0,40.416,1,0,0,0,1,0,0,0,0,1,0,2017-11-26,47,4,801.568,69.3,241.568,332.3893333333332,314.07757142857145
48234,210.98,2,0.0,21.098,1,0,0,0,0,1,0,0,0,0,1,2017-01-23,4,1,126.3,801.568,69.3,379.6159999999998,270.7654285714286
33801,683.952,3,0.2,42.747,0,0,0,1,0,0,1,0,1,0,0,2017-10-21,42,4,210.98,126.3,801.568,340.4106666666665,341.3468571428571
33801,45.696,3,0.2,5.1408,0,0,0,1,0,0,1,0,0,1,0,2017-10-21,42,4,683.952,210.98,126.3,313.54266666666655,311.3377142857143
90036,190.72,1,0.2,11.92,0,0,1,0,0,1,0,0,1,0,0,2015-11-07,45,4,45.696,683.952,210.98,306.78933333333316,304.0737142857143
90032,47.94,3,0.0,2.397,0,0,0,1,1,0,0,0,0,1,0,2017-09-07,36,3,190.72,45.696,683.952,94.78533333333318,301.0222857142857
42420,283.92,4,0.0,70.98,0,0,0,1,1,0,0,0,1,0,0,2015-12-07,50,4,47.94,190.72,45.696,174.1933333333332,227.07257142857142
76106,66.112,4,0.6,-84.2928,0,0,0,1,1,0,0,0,0,1,0,2014-05-11,19,2,283.92,47.94,190.72,132.65733333333318,218.4742857142857
94110,1121.568,2,0.2,0.0,0,0,1,0,1,0,0,0,1,0,0,2016-04-15,15,2,66.112,283.92,47.94,490.53333333333313,348.5582857142857
32216,34.504,1,0.2,6.0382,1,0,0,0,1,0,0,0,0,1,0,2017-09-11,37,3,1121.568,66.112,283.92,407.3946666666665,255.77999999999997
90045,1335.68,4,0.2,-217.048,0,0,0,1,1,0,0,0,0,0,1,2016-06-10,23,2,34.504,1121.568,66.112,830.5839999999998,440.0634285714286
94110,42.6,3,0.0,16.614,0,0,1,0,1,0,0,0,0,1,0,2017-11-20,47,4,1335.68,34.504,1121.568,470.9279999999998,418.9034285714285
33614,13.128,3,0.2,3.7743,0,0,1,0,1,0,0,0,0,1,0,2014-09-14,37,3,42.6,1335.68,34.504,463.80266666666654,413.93028571428573
98105,451.152,3,0.2,0.0,0,0,0,1,0,1,0,0,1,0,0,2017-10-01,39,4,13.128,42.6,1335.68,168.95999999999984,437.82057142857144
60610,8.792,1,0.6,-5.7148,0,0,0,1,1,0,0,0,0,1,0,2017-07-20,29,3,451.152,13.128,42.6,157.6906666666665,429.632
40475,70.98,1,0.0,4.9686,0,0,0,1,1,0,0,0,1,0,0,2015-07-03,27,3,8.792,451.152,13.128,176.9746666666665,279.548
92024,327.76,8,0.0,91.7728,0,0,0,1,1,0,0,0,0,1,0,2014-08-08,32,3,70.98,8.792,451.152,135.84399999999985,321.4417142857143
33614,45.696,3,0.2,5.1408,0,0,0,1,1,0,0,0,0,1,0,2014-03-15,11,1,327.76,70.98,8.792,148.14533333333318,137.1582857142857
10011,40.48,2,0.0,15.7872,0,0,1,0,0,1,0,0,0,1,0,2017-08-18,33,3,45.696,327.76,70.98,137.9786666666665,136.85542857142858
10011,9.94,2,0.0,3.0814,0,0,1,0,0,1,0,0,0,1,0,2017-08-18,33,3,40.48,45.696,327.76,32.038666666666515,136.4
10011,88.02,3,0.0,27.2862,0,0,1,0,0,1,0,0,0,1,0,2017-08-18,33,3,9.94,40.48,45.696,46.14666666666651,84.524
48126,301.96,2,0.0,87.5684,0,0,0,1,0,1,0,0,1,0,0,2015-11-29,48,4,88.02,9.94,40.48,133.3066666666665,126.40514285714285
10009,35.56,7,0.0,12.0904,0,0,0,1,0,0,1,0,0,1,0,2017-09-15,37,3,301.96,88.02,9.94,141.84666666666652,121.34514285714285
31088,392.94,3,0.0,43.2234,0,0,1,0,0,1,0,0,1,0,0,2015-10-04,40,4,35.56,301.96,88.02,243.48666666666654,130.65657142857143
94591,1049.2,5,0.0,272.792,0,0,0,1,0,0,1,0,0,1,0,2016-05-20,20,2,392.94,35.56,301.96,492.5666666666666,274.0142857142857
55407,18.84,3,0.0,6.0288,0,0,0,1,0,1,0,0,0,1,0,2016-12-18,50,4,1049.2,392.94,35.56,486.99333333333317,270.92285714285714
98661,14.8,4,0.0,6.068,0,0,1,0,0,1,0,0,0,1,0,2016-12-11,49,4,18.84,1049.2,392.94,360.94666666666654,271.6171428571429
60505,701.372,2,0.3,-50.098,0,1,0,0,0,0,1,0,1,0,0,2016-09-19,38,3,14.8,18.84,1049.2,245.00399999999982,359.23885714285717
76017,918.785,5,0.3,-118.1295,0,0,0,1,1,0,0,0,0,0,1,2015-08-24,35,3,701.372,14.8,18.84,544.9856666666665,447.35671428571425
44105,30.36,5,0.2,8.7285,1,0,0,0,1,0,0,0,0,1,0,2014-12-24,52,4,918.785,701.372,14.8,550.1723333333331,446.61385714285717
60653,23.976,3,0.6,-14.3856,0,0,0,1,0,0,1,0,0,1,0,2017-06-09,23,2,30.36,918.785,701.372,324.3736666666665,393.9047142857143
60653,108.925,1,0.5,-71.8905,0,0,0,1,0,0,1,0,0,0,1,2017-06-09,23,2,23.976,30.36,918.785,54.42033333333318,259.5797142857143
75701,82.524,3,0.6,-41.262,0,0,0,1,1,0,0,0,0,1,0,2017-03-18,11,1,108.925,23.976,30.36,71.80833333333318,268.6774285714286
10035,191.984,2,0.2,4.7996,0,0,0,1,1,0,0,1,0,0,0,2017-12-25,52,4,82.524,108.925,23.976,127.81099999999985,293.98942857142856
22980,104.01,1,0.0,14.5614,0,0,1,0,1,0,0,0,0,1,0,2014-06-21,25,2,191.984,82.524,108.925,126.17266666666653,208.65200000000004
44105,15.072,3,0.2,4.1448,0,0,0,1,0,1,0,0,0,1,0,2017-09-02,35,3,104.01,191.984,82.524,103.68866666666652,79.55014285714289
98103,209.88,3,0.0,35.6796,0,0,1,0,0,1,0,0,0,1,0,2016-11-04,44,4,15.072,104.01,191.984,109.65399999999984,105.19585714285718
90805,369.912,3,0.2,-13.8717,0,0,0,1,1,0,0,0,0,0,1,2015-04-09,15,2,209.88,15.072,104.01,198.28799999999987,154.61528571428576
10035,883.92,5,0.2,-110.49,1,0,0,0,1,0,0,1,0,0,0,2014-12-02,49,4,369.912,209.88,15.072,487.9039999999998,265.32885714285715
19901,9.94,2,0.0,3.0814,1,0,0,0,1,0,0,0,0,1,0,2014-01-11,2,1,883.92,369.912,209.88,421.25733333333307,254.95971428571428
43055,103.056,3,0.2,24.4758,0,0,0,1,1,0,0,0,0,1,0,2017-09-24,38,3,9.94,883.92,369.912,332.3053333333332,242.2557142857143
84057,73.32,6,0.0,21.996,0,0,0,1,0,0,1,0,0,1,0,2014-06-02,23,2,103.056,9.94,883.92,62.105333333333135,237.8714285714286
48205,1652.94,3,0.0,231.4116,0,0,0,1,0,1,0,0,0,0,1,2016-12-15,50,4,73.32,103.056,9.94,609.7719999999998,471.8525714285714
19140,129.92,5,0.2,21.112,0,0,0,1,0,0,1,0,0,1,0,2014-10-07,41,4,1652.94,73.32,103.056,618.7266666666665,460.4297142857143
11572,400.032,2,0.4,-153.3456,1,0,0,0,1,0,0,0,0,0,1,2016-12-03,48,4,129.92,1652.94,73.32,727.6306666666665,464.7325714285715
11572,542.646,3,0.1,102.4998,1,0,0,0,1,0,0,0,1,0,0,2016-12-03,48,4,400.032,129.92,1652.94,357.53266666666644,415.9791428571429
98115,84.98,1,0.0,18.6956,0,0,0,1,0,0,1,1,0,0,0,2017-01-21,3,1,542.646,400.032,129.92,342.5526666666664,426.6991428571429
92105,567.12,10,0.2,-28.356,0,1,0,0,0,1,0,0,0,0,1,2014-05-27,22,2,84.98,542.646,400.032,398.2486666666664,492.9940000000001
48183,157.74,11,0.0,56.7864,0,0,0,1,1,0,0,0,0,1,0,2017-10-02,40,4,567.12,84.98,542.646,269.94666666666643,505.05400000000003
90036,79.92,4,0.0,28.7712,0,0,0,1,1,0,0,0,0,1,0,2015-12-07,50,4,157.74,567.12,84.98,268.25999999999976,280.3368571428572
32216,383.438,4,0.45,-167.3184,0,0,0,1,0,1,0,0,0,0,1,2016-09-18,37,3,79.92,157.74,567.12,207.03266666666642,316.5537142857143
33710,310.88,2,0.2,23.316,0,0,0,1,0,1,0,0,0,1,0,2014-05-14,20,2,383.438,79.92,157.74,258.0793333333331,303.8177142857143
22204,641.96,2,0.0,179.7488,0,0,0,1,1,0,0,0,1,0,0,2016-05-19,20,2,310.88,383.438,79.92,445.42599999999976,318.00542857142864
50315,34.58,7,0.0,14.5236,0,0,0,1,0,1,0,0,0,1,0,2017-01-30,5,1,641.96,310.88,383.438,329.1399999999998,310.80542857142865
94110,544.008,3,0.2,40.8006,1,0,0,0,0,0,1,0,1,0,0,2015-08-21,34,3,34.58,641.96,310.88,406.84933333333316,307.50371428571435
43229,35.49,1,0.5,-15.6156,0,0,1,0,1,0,0,1,0,0,0,2015-10-03,40,4,544.008,34.58,641.96,204.6926666666665,290.0394285714286
93534,348.928,2,0.2,34.8928,0,0,0,1,1,0,0,0,1,0,0,2015-12-12,50,4,35.49,544.008,34.58,309.47533333333314,328.4691428571429
23223,332.94,3,0.0,79.9056,0,0,0,1,1,0,0,0,1,0,0,2015-06-26,26,2,348.928,35.49,544.008,239.11933333333317,321.25514285714286
92530,283.92,5,0.2,17.745,0,0,0,1,1,0,0,0,1,0,0,2015-11-27,48,4,332.94,348.928,35.49,321.92933333333315,317.40371428571433
92105,22.23,1,0.0,7.3359,1,0,0,0,0,1,0,0,0,1,0,2017-02-20,8,1,283.92,332.94,348.928,213.02999999999983,228.87085714285718
94122,18.28,2,0.0,6.2152,1,0,0,0,1,0,0,0,0,1,0,2017-04-22,16,2,22.23,283.92,332.94,108.14333333333315,226.54228571428578
68104,28.4,2,0.0,11.076,1,0,0,0,1,0,0,0,0,1,0,2015-02-03,6,1,18.28,22.23,283.92,22.96999999999981,152.88400000000004
98026,1298.55,5,0.0,311.652,1,0,0,0,1,0,0,0,0,0,1,2014-10-13,42,4,28.4,18.28,22.23,448.4099999999998,333.32114285714295
92704,18.28,2,0.0,6.2152,0,1,0,0,1,0,0,0,0,1,0,2017-05-14,19,2,1298.55,28.4,18.28,448.4099999999998,286.0857142857143
19140,1228.465,5,0.3,0.0,0,0,0,1,1,0,0,0,1,0,0,2014-06-28,26,2,18.28,1298.55,28.4,848.4316666666664,414.01785714285717
41042,301.96,2,0.0,90.588,0,0,1,0,1,0,0,0,1,0,0,2017-06-16,24,2,1228.465,18.28,1298.55,516.2349999999998,416.59499999999997
10035,186.048,4,0.2,9.3024,0,0,0,1,0,1,0,1,0,0,0,2015-11-20,47,4,301.96,1228.465,18.28,572.1576666666664,439.9975714285714
40214,287.94,3,0.0,77.7438,0,0,0,1,1,0,0,0,1,0,0,2015-10-13,42,4,186.048,301.96,1228.465,258.6493333333331,478.52042857142857
44052,48.896,4,0.2,8.5568,0,0,0,1,1,0,0,0,0,1,0,2017-01-01,52,1,287.94,186.048,301.96,174.29466666666644,481.44842857142856
